Curve:JPY.TONAR,,,,,,,,,,
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve
TONAR Swap,swap,Spot,1M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,2M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,3M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,4M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,5M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,6M,-0.00054,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,9M,-0.0005625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,1Y,-0.00059375,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,18M,-0.0005813,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,2Y,-0.000575,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,3Y,-0.000575,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,4Y,-0.00055625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,5Y,-0.00049375,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,7Y,-0.00025,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,10Y,0.00033125,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,12Y,0.0007625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,15Y,0.00145,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,20Y,0.0023625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,25Y,0.00293,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
TONAR Swap,swap,Spot,30Y,0.0032875,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR
Curve:JPY.LIBOR.6M,,,,,,,,,,
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve
LIBOR6M FRA,FRA,0M,6M,0.000242,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
LIBOR6M FRA,FRA,1M,6M,0.0002,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
LIBOR6M FRA,FRA,2M,6M,0.000153,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
LIBOR6M FRA,FRA,3M,6M,0.0001125,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
LIBOR6M FRA,FRA,4M,6M,0.000078,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
LIBOR6M FRA,FRA,5M,6M,0.00005,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na
Libor6M Swap,swap,Spot,1Y,0.000129,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,2Y,0.0001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,3Y,0.0001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,4Y,0.0001458,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,5Y,0.000252,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,6Y,0.000392,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,7Y,0.00057,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,8Y,0.00078,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,10Y,0.001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,12Y,0.00125,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,15Y,0.00173,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,20Y,0.0034,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,25Y,0.004,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Libor6M Swap,swap,Spot,30Y,0.00439,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M
Curve:JPY.LIBOR.3M,,,,,,,,,,
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve
LIBOR3M Future,future,1M,3M,100.0425,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
LIBOR3M Future,future,2M,3M,100.04625,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
LIBOR3M Future,future,3M,3M,100.0525,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
LIBOR3M Future,future,4M,3M,100.0475,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
LIBOR3M Future,future,5M,3M,100.05125,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
LIBOR3M Future,future,6M,3M,100.0525,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na
Libor3M6M Basis Swap,basis swap,Spot,2Y,0.0005875,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,3Y,0.00060625,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,4Y,0.00063125,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,5Y,0.00066875,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,6Y,0.00070625,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,7Y,0.00073125,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,8Y,0.00075625,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,10Y,0.0007875,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,12Y,0.00080625,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,15Y,0.00081875,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,20Y,0.0008375,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,25Y,0.00085,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Libor3M6M Basis Swap,basis swap,Spot,30Y,0.00086875,3M,6M,JPY.TONAR,JPY.LIBOR.3M,JPY.TONAR,JPY.LIBOR.6M
Curve:JPY.XCCY.DISC,,,,,,,,,,
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve
JPYUSD FX Forward,fx forward,spot,1m,108.547,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD FX Forward,fx forward,spot,2m,108.3655,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD FX Forward,fx forward,spot,3m,108.3,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD FX Forward,fx forward,spot,4m,108.252,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD FX Forward,fx forward,spot,5m,108.15,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD FX Forward,fx forward,spot,6m,107.875,na,na,JPY.XCCY.DISC,na,USD.OIS,na
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,9m,-0.0020125,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,1y,-0.0026,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,2Y,-0.00297,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,3Y,-0.0033,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,4Y,-0.0037,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,5Y,-0.0039,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,6Y,-0.0042,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,7Y,-0.0044,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,8Y,-0.0045,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,10Y,-0.0046,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,15Y,-0.0047,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,20Y,-0.0046,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,25Y,-0.0045,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,30Y,-0.0044,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M
